company_id,paper_id,symbol,paper_type_he,identifier_status,identifier_reason,identifier_api,identifier_success,logo_exists,logo_status,logo_reason,logo_api,logo_success
20385481,745018,POLY,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385481/logos,1
876816,746016,STRS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/876816/logos,1
20345807,726018,JBNK,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20345807/logos,1
5851315,727016,PLCR,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
N/A,749077,ELRN,מניה,FAILED,HTTP 404,,0,no,,,,
12647998,753012,LODZ,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/12647998/logos,1
20342936,755017,EQTL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20342936/logos,1
882755,756015,PTCH,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882755/logos,1
5435227,759019,GVYM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5435227/logos,1
2919834,763011,FIBIH,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2919834/logos,1
20357677,765016,PPBT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20357677/logos,1
874863,767012,PHOE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/874863/logos,1
12648533,796011,TAYA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/12648533/logos,1
618620,797035,KLIL,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20384959,810010,CDEV,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
3433523,813014,SANO1,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3433523/logos,1
882876,822015,DANH,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882876/logos,1
20413179,823013,HGG,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20413179/logos,1
383522,777037,SAE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/383522/logos,1
739810,769026,RPAC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/739810/logos,1
5839351,770016,ACCL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5839351/logos,1
20385277,826016,LHIS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385277/logos,1
895476,829010,DLEA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/895476/logos,1
9450317,1080613,ANLT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/9450317/logos,1
20345025,1080753,ILX,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20345025/logos,1
20412319,1080837,SHAN,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20356658,1080928,ININ,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20356658/logos,1
881970,1080985,ISRO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/881970/logos,1
13010819,1081009,REKA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/13010819/logos,1
4664053,1081074,ISTA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/4664053/logos,1
20385165,1080522,AUIS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385165/logos,1
20385563,1080597,GLTL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385563/logos,1
517056,1081116,EMITF,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
882957,1081165,MGDL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882957/logos,1
725175,1081439,LUDN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/725175/logos,1
20384840,1081561,BSEN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20384840/logos,1
879067,1081603,PLSN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/879067/logos,1
20375467,1081686,SMT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20375467/logos,1
645738,1081124,ESLT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/645738/logos,1
30964860,1098755,SNFL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/30964860/logos,1
20386773,1081843,MTAV,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20386773/logos,1
883941,1081942,SKBN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/883941/logos,1
269723575,1081983,GPAY-M,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
532516,1082007,SHOM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/532516/logos,1
23750981,1093202,DRAL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/23750981/logos,1
528464124,1082114,APLP,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/528464124/logos,1
20385623,1083377,TOPG,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385623/logos,1
645938,1083419,AGRD,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
32624038,1118447,KARE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/32624038/logos,1
239307399,1083856,ALAR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/239307399/logos,1
29516484,1083930,NXGN-M,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20358609,1083955,QLTU,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20358609/logos,1
819242,1084128,DLEKG,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/819242/logos,1
5551589,1173137,DNYA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5551589/logos,1
419951036,1084367,TKUN,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20358411,1084482,IBIU,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20358411/logos,1
1734261,1084698,HLAN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1734261/logos,1
20385627,1084953,SNEL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385627/logos,1
20333101,1085265,ARAN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20333101/logos,1
3449495,1086230,ORTC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3449495/logos,1
5426045,1087022,FOX,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5426045/logos,1
20342789,1087824,ELAL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20342789/logos,1
13153838,1091354,AFPR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/13153838/logos,1
5448991,1092345,SCC,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
N/A,1087949,KRNV-M,מניה,FAILED,HTTP 404,,0,no,,,,
20357037,1090117,SPNTC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20357037/logos,1
953543,1090141,TGI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/953543/logos,1
20413148,1090315,DIMRI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20413148/logos,1
20342874,1090364,ELSPC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20342874/logos,1
20358428,1090943,RMN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20358428/logos,1
